"","date","time","observers","count","year","route_num","hab_hm","hab_p","hab_o","hab_b","hab_other","vehicles","common_name","spec_code","sci_name","tax_order","lat","lon","route","source","obs_id","sub_id","distance","all_obs","breed_code","species_comment","weather","notes","others"
"70",1999-05-23,"5:30 EDT","Barb Brooks",1,1999,"2",NA,NA,NA,NA,NA,NA,"Summer Tanager","SUTA","Piranga rubra",32066,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",1999-05-23,"5:30 EDT","Barb Brooks",NA,1999,"2",NA,NA,NA,NA,NA,NA,"Chipping Sparrow","CHSP","Spizella passerina",30697,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1999-05-23,"5:30 EDT","Barb Brooks",5,1999,"2",NA,NA,NA,NA,NA,NA,"Field Sparrow","FISP","Spizella pusilla",30710,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",1999-05-23,"5:30 EDT","Barb Brooks",2,1999,"2",NA,NA,NA,NA,NA,NA,"Grasshopper Sparrow","GRSP","Ammodramus savannarum",30650,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",1999-05-23,"5:30 EDT","Barb Brooks",1,1999,"2",NA,NA,NA,NA,NA,NA,"Song Sparrow","SOSP","Melospiza melodia",30980,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",1999-05-23,"5:30 EDT","Barb Brooks",16,1999,"2",NA,NA,NA,NA,NA,NA,"Northern Cardinal","NOCA","Cardinalis cardinalis",32148,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1999-05-23,"5:30 EDT","Barb Brooks",8,1999,"2",NA,NA,NA,NA,NA,NA,"Indigo Bunting","INBU","Passerina cyanea",32239,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",1999-05-23,"5:30 EDT","Barb Brooks",4,1999,"2",NA,NA,NA,NA,NA,NA,"Blue Grosbeak","BLGR","Passerina caerulea",32230,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",1999-05-23,"5:30 EDT","Barb Brooks",3,1999,"2",NA,NA,NA,NA,NA,NA,"Red-winged Blackbird","RWBL","Agelaius phoeniceus",31460,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",1999-05-23,"5:30 EDT","Barb Brooks",2,1999,"2",NA,NA,NA,NA,NA,NA,"Eastern Meadowlark","EAME","Sturnella magna",31260,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",1999-05-23,"5:30 EDT","Barb Brooks",2,1999,"2",NA,NA,NA,NA,NA,NA,"Common Grackle","COGR","Quiscalus quiscula",31536,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
